"Well","ExptType","Experiment","Sample","TargetType","Target","Status","Concentration","Supermix","CopiesPer20uLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","AcceptedDroplets","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","FractionalAbundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","ReferenceAssayNumber","TargetAssayNumber","Threshold","MeanAmplitudeofPositives","MeanAmplitudeofNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfMax68","TotalConfMin68","PoissonConfMax68","PoissonConfMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68"
"F07","Rare Event Detection","RED","EXT","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.2,0,0,17761,0,0,0,17761,0,17761,,,,,,,,,,,,,,,,,,1,1,5507,0,1731.7,1731.7,"Rare Event Detection Experiment",,,,0.091,0,,,,,,,,,,,,","
"F08","Rare Event Detection","RED","NTC","Ch1NTC","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.2,0,0,17262,0,0,1,17261,0,17262,,,,,,,,,,,,,,,,,,1,1,5507,0,1750.3,1750.3,"Rare Event Detection Experiment",,,,0.093,0,,,,,,,,,,,,","
"G01","Rare Event Detection","RED","26JS241219I","Ch1Unknown","N1","Manual",3,"One-Step RT-ddPCR Kit for Probes",60,,,3.9,2.6,50,19855,0,50,31,19824,0,19905,,,,,,,,1.6,,,2.3,0.9,62,,,72,51,1,1,5507,7011.5,1544,1557.7,"Rare Event Detection Experiment",,,,3.4,0,,,,,,,1.98,1.25,,,67,"56,"
"G02","Rare Event Detection","RED","26JS241219I","Ch1Unknown","N1","Manual",2.5,"One-Step RT-ddPCR Kit for Probes",50,,,3.3,2.1,40,18906,0,40,24,18882,0,18946,,,,,,,,1.7,,,2.5,0.8,63,,,74,51,1,1,5507,7045,1561.9,1573.5,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,2.1,1.24,,,69,"56,"
"G03","Rare Event Detection","RED","26JS241219I","Ch1Unknown","N1","Manual",2.7,"One-Step RT-ddPCR Kit for Probes",54,,,3.6,2.3,44,19317,0,44,15,19302,0,19361,,,,,,,,2.9,,,4.7,1.2,75,,,86,63,1,1,5507,7045.2,1544.6,1557.1,"Rare Event Detection Experiment",,,,3.1,0,,,,,,,3.8,2.1,,,80,"69,"
"G04","Rare Event Detection","RED","26YC241216I","Ch1Unknown","N1","Manual",0.96,"One-Step RT-ddPCR Kit for Probes",19.2,,,1.53,0.73,15,18390,0,15,10,18380,0,18405,,,,,,,,1.5,,,2.7,0.3,60,,,80,40,1,1,5507,7654.4,1858.3,1863,"Rare Event Detection Experiment",,,,1.2,0,,,,,,,2.1,0.9,,,70,"50,"
"G05","Rare Event Detection","RED","26YC241216I","Ch1Unknown","N1","Manual",1.9,"One-Step RT-ddPCR Kit for Probes",38,,,2.6,1.5,30,18913,0,30,12,18901,0,18943,,,,,,,,2.5,,,4.2,0.8,71,,,85,58,1,1,5507,7592.5,1837.1,1846.2,"Rare Event Detection Experiment",,,,2.2,0,,,,,,,3.4,1.6,,,78,"64,"
"G06","Rare Event Detection","RED","26YC241216I","Ch1Unknown","N1","Manual",1.9,"One-Step RT-ddPCR Kit for Probes",38,,,2.7,1.6,30,18572,0,30,14,18558,0,18602,,,,,,,,2.1,,,3.5,0.8,68,,,82,54,1,1,5507,7604.1,1863.6,1872.9,"Rare Event Detection Experiment",,,,2.3,0,,,,,,,2.8,1.4,,,75,"61,"
"H01","Rare Event Detection","RED","26TM241220I","Ch1Unknown","N1","Manual",2.8,"One-Step RT-ddPCR Kit for Probes",56,,,3.7,2.4,44,18637,0,44,0,18637,0,18681,,,,,,,,,,,,,,,,,,1,1,5507,7810.5,1954.6,1968.3,"Rare Event Detection Experiment",,,,3.2,0,,,,,,,,,,,,","
"H02","Rare Event Detection","RED","26TM241220I","Ch1Unknown","N1","Manual",3.4,"One-Step RT-ddPCR Kit for Probes",68,,,4.4,3,57,19543,0,57,5,19538,0,19600,,,,,,,,11,,,22,1,92,,,99,85,1,1,5507,7835.9,1936.5,1953.7,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,17,6,,,95.5,"88.4,"
"H03","Rare Event Detection","RED","26TM241220I","Ch1Unknown","N1","Manual",1.9,"One-Step RT-ddPCR Kit for Probes",38,,,2.7,1.6,31,19134,0,31,6,19128,0,19165,,,,,,,,5.2,,,9.8,0.5,84,,,96,72,1,1,5507,7669.7,1910.6,1919.9,"Rare Event Detection Experiment",,,,2.3,0,,,,,,,7.5,2.8,,,90,"78,"
"H04","Rare Event Detection","RED","POS","Ch1Positive Control","N1","Manual",11.8,"One-Step RT-ddPCR Kit for Probes",236,,,13.6,10.9,174,17245,0,174,0,17245,0,17419,,,,,,,,,,,,,,,,,,1,1,5507,9393,1700.4,1777.2,"Rare Event Detection Experiment",,,,13,0,,,,,,,,,,,,","
"H05","Rare Event Detection","RED","POS","Ch1Positive Control","N1","Manual",11.3,"One-Step RT-ddPCR Kit for Probes",226,,,13,10.5,174,18011,0,174,0,18011,0,18185,,,,,,,,,,,,,,,,,,1,1,5507,9428.6,1694.6,1768.6,"Rare Event Detection Experiment",,,,12,0,,,,,,,,,,,,","
"H06","Rare Event Detection","RED","POS","Ch1Positive Control","N1","Manual",9.8,"One-Step RT-ddPCR Kit for Probes",196,,,11.3,9,157,18830,0,157,1,18829,0,18987,,,,,,,,,,,,,,,,,,1,1,5507,9658.8,1734.9,1800.5,"Rare Event Detection Experiment",,,,11,0,,,,,,,,,,,,","
