"","Well","ExptType","Experiment","Sample","TargetType","Target","Status","Concentration","Supermix","CopiesPer20uLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","AcceptedDroplets","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","FractionalAbundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","ReferenceAssayNumber","TargetAssayNumber","Threshold","MeanAmplitudeofPositives","MeanAmplitudeofNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfMax68","TotalConfMin68","PoissonConfMax68","PoissonConfMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68"
"1","A01","Rare Event Detection","RED","26AA241218I","Ch1Unknown","N1","Manual",1.41,"One-Step RT-ddPCR Kit for Probes",28.2,NA,NA,2.09,1.13,22,18332,0,22,26,18306,0,18354,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,1.33,0.36,46,NA,NA,60,32,1,1,5507,7660.4,1775,1782,"Rare Event Detection Experiment",NA,NA,NA,1.7,0,NA,NA,NA,NA,NA,NA,1.09,0.6,NA,NA,53,"39,"
"2","A02","Rare Event Detection","RED","26AA241218I","Ch1Unknown","N1","Manual",1.37,"One-Step RT-ddPCR Kit for Probes",27.4,NA,NA,2.01,1.11,23,19712,0,23,23,19689,0,19735,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.6,0.4,50,NA,NA,65,35,1,1,5507,7696.6,1798.8,1805.7,"Rare Event Detection Experiment",NA,NA,NA,1.7,0,NA,NA,NA,NA,NA,NA,1.29,0.71,NA,NA,57,"43,"
"3","A03","Rare Event Detection","RED","26AA241218I","Ch1Unknown","N1","Manual",1.14,"One-Step RT-ddPCR Kit for Probes",22.8,NA,NA,1.74,0.9,19,19529,0,19,16,19513,0,19548,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,2,0.4,54,NA,NA,71,38,1,1,5507,7620.8,1789.3,1795,"Rare Event Detection Experiment",NA,NA,NA,1.4,0,NA,NA,NA,NA,NA,NA,1.59,0.78,NA,NA,63,"46,"
"4","A04","Rare Event Detection","RED","26TM241221I","Ch1Unknown","N1","Manual",2.5,"One-Step RT-ddPCR Kit for Probes",50,NA,NA,3.4,2.1,38,17748,0,38,4,17744,0,17786,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,20,0,90,NA,NA,100,81,1,1,5507,7780.8,1887.5,1900.1,"Rare Event Detection Experiment",NA,NA,NA,2.9,0,NA,NA,NA,NA,NA,NA,15,4,NA,NA,95.1,"85.9,"
"5","A05","Rare Event Detection","RED","26TM241221I","Ch1Unknown","N1","Manual",2.6,"One-Step RT-ddPCR Kit for Probes",52,NA,NA,3.6,2.3,40,17747,1,39,3,17744,0.0657,17787,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,21,0,91,NA,NA,100,82,1,1,5507,7749.2,1896.5,1909.7,"Rare Event Detection Experiment",NA,NA,NA,3.1,0,NA,NA,NA,NA,NA,NA,15,5,NA,NA,95.3,"86.5,"
"6","A06","Rare Event Detection","RED","26TM241221I","Ch1Unknown","N1","Manual",3.5,"One-Step RT-ddPCR Kit for Probes",70,NA,NA,4.6,3.1,56,18576,0,56,4,18572,0,18632,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,29,0,93,NA,NA,100,87,1,1,5507,7760.4,1921.6,1939.2,"Rare Event Detection Experiment",NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,21,7,NA,NA,96.6,"90.1,"
"7","A08","Rare Event Detection","RED","NEG","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.19,0,0,18501,0,0,0,18501,0,18501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1713.3,1713.3,"Rare Event Detection Experiment",NA,NA,NA,0.087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"8","B01","Rare Event Detection","RED","26AA241219I","Ch1Unknown","N1","Manual",0.48,"One-Step RT-ddPCR Kit for Probes",9.6,NA,NA,0.93,0.32,7,17314,0,7,2,17312,0,17321,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,9.5,0,78,NA,NA,107,48,1,1,5507,7715.2,1786.2,1788.6,"Rare Event Detection Experiment",NA,NA,NA,0.68,0,NA,NA,NA,NA,NA,NA,6.4,0.6,NA,NA,92,"63,"
"9","B02","Rare Event Detection","RED","26AA241219I","Ch1Unknown","N1","Manual",0.73,"One-Step RT-ddPCR Kit for Probes",14.6,NA,NA,1.25,0.53,11,17731,0,11,2,17729,0,17742,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,15,0,85,NA,NA,106,63,1,1,5507,7720.6,1810,1813.6,"Rare Event Detection Experiment",NA,NA,NA,0.97,0,NA,NA,NA,NA,NA,NA,9.9,1.1,NA,NA,95,"74,"
"10","B03","Rare Event Detection","RED","26AA241219I","Ch1Unknown","N1","Manual",0.79,"One-Step RT-ddPCR Kit for Probes",15.8,NA,NA,1.3,0.59,13,19365,0,13,4,19361,0,19378,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,7,0,76,NA,NA,97,55,1,1,5507,7692,1821.4,1825.3,"Rare Event Detection Experiment",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,5.1,1.4,NA,NA,87,"66,"
"11","B04","Rare Event Detection","RED","26TM241222I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,NA,NA,2.6,1.5,27,17670,0,27,1,17669,0,17697,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,92,0,96,NA,NA,105,88,1,1,5507,7586.6,1839.6,1848.4,"Rare Event Detection Experiment",NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,57,0,NA,NA,100.3,"92.6,"
"12","B05","Rare Event Detection","RED","26TM241222I","Ch1Unknown","N1","Manual",1.6,"One-Step RT-ddPCR Kit for Probes",32,NA,NA,2.3,1.3,24,17871,0,24,2,17869,0,17895,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,31,0,92,NA,NA,104,81,1,1,5507,7541.3,1828.3,1836,"Rare Event Detection Experiment",NA,NA,NA,1.9,0,NA,NA,NA,NA,NA,NA,21,3,NA,NA,98,"87,"
"13","B06","Rare Event Detection","RED","26TM241222I","Ch1Unknown","N1","Manual",2,"One-Step RT-ddPCR Kit for Probes",40,NA,NA,2.8,1.7,31,18194,0,31,3,18191,0,18225,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,23,0,91,NA,NA,101,81,1,1,5507,7468.6,1872.8,1882.4,"Rare Event Detection Experiment",NA,NA,NA,2.4,0,NA,NA,NA,NA,NA,NA,17,4,NA,NA,96,"86,"
"14","B08","Rare Event Detection","RED","NEG","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.2,0,0,17897,0,0,0,17897,0,17897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1730.9,1730.9,"Rare Event Detection Experiment",NA,NA,NA,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"15","C01","Rare Event Detection","RED","26AA241220I","Ch1Unknown","N1","Manual",1.41,"One-Step RT-ddPCR Kit for Probes",28.2,NA,NA,2.11,1.13,21,17477,0,21,4,17473,0,17498,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,11,0,84,NA,NA,99,69,1,1,5507,7669.4,1838.1,1845.1,"Rare Event Detection Experiment",NA,NA,NA,1.7,0,NA,NA,NA,NA,NA,NA,8.2,2.3,NA,NA,91,"77,"
"16","C02","Rare Event Detection","RED","26AA241220I","Ch1Unknown","N1","Manual",2,"One-Step RT-ddPCR Kit for Probes",40,NA,NA,2.8,1.7,32,18722,0,32,8,18714,0,18754,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,7.2,0.8,80,NA,NA,93,67,1,1,5507,7662.2,1849.6,1859.5,"Rare Event Detection Experiment",NA,NA,NA,2.4,0,NA,NA,NA,NA,NA,NA,5.6,2.4,NA,NA,86,"74,"
"17","C03","Rare Event Detection","RED","26AA241220I","Ch1Unknown","N1","Manual",1.7,"One-Step RT-ddPCR Kit for Probes",34,NA,NA,2.4,1.4,28,19468,0,28,6,19462,0,19496,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,8.9,0.4,82,NA,NA,96,69,1,1,5507,7687.3,1854.8,1863.2,"Rare Event Detection Experiment",NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,6.8,2.5,NA,NA,89,"76,"
"18","C04","Rare Event Detection","RED","26TM241223I","Ch1Unknown","N1","Manual",3.4,"One-Step RT-ddPCR Kit for Probes",68,NA,NA,4.4,3,53,18239,1,52,4,18235,0.0636,18292,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,21,1,91,NA,NA,99,84,1,1,5507,7652.6,1862.7,1879.4,"Rare Event Detection Experiment",NA,NA,NA,3.9,0,NA,NA,NA,NA,NA,NA,16,6,NA,NA,95.1,"87.7,"
"19","C05","Rare Event Detection","RED","26TM241223I","Ch1Unknown","N1","Manual",3.9,"One-Step RT-ddPCR Kit for Probes",78,NA,NA,5,3.5,62,18480,2,60,3,18477,0.126,18542,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,24,1,93,NA,NA,99,86,1,1,5507,7588.7,1862,1881.2,"Rare Event Detection Experiment",NA,NA,NA,4.5,0,NA,NA,NA,NA,NA,NA,18,7,NA,NA,95.8,"89.3,"
"20","C06","Rare Event Detection","RED","26TM241223I","Ch1Unknown","N1","Manual",3.6,"One-Step RT-ddPCR Kit for Probes",72,NA,NA,4.7,3.1,52,17000,0,52,2,16998,0,17052,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,66,0,96,NA,NA,102,91,1,1,5507,7452.5,1907.1,1924,"Rare Event Detection Experiment",NA,NA,NA,4.1,0,NA,NA,NA,NA,NA,NA,46,6,NA,NA,99,"93.6,"
"21","C08","Rare Event Detection","RED","NEG","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.19,0,0,18791,0,0,0,18791,0,18791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1740.8,1740.8,"Rare Event Detection Experiment",NA,NA,NA,0.086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"22","D01","Rare Event Detection","RED","26AA241221I","Ch1Unknown","N1","Manual",1.06,"One-Step RT-ddPCR Kit for Probes",21.2,NA,NA,1.67,0.82,16,17763,0,16,1,17762,0,17779,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,55,0,94,NA,NA,108,81,1,1,5507,7633.7,1877.5,1882.7,"Rare Event Detection Experiment",NA,NA,NA,1.3,0,NA,NA,NA,NA,NA,NA,34,0,NA,NA,100,"88,"
"23","D02","Rare Event Detection","RED","26AA241221I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,NA,NA,2.5,1.5,28,18587,0,28,3,18584,0,18615,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,21,0,90,NA,NA,101,79,1,1,5507,7452.6,1859.6,1868,"Rare Event Detection Experiment",NA,NA,NA,2.1,0,NA,NA,NA,NA,NA,NA,15,3,NA,NA,96,"85,"
"24","D03","Rare Event Detection","RED","26AA241221I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,NA,NA,2.6,1.5,28,18023,0,28,1,18022,0,18051,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,95,0,97,NA,NA,105,89,1,1,5507,7700.3,1868,1877.1,"Rare Event Detection Experiment",NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,60,0,NA,NA,100.3,"92.8,"
"25","D04","Rare Event Detection","RED","26YC241221I","Ch1Unknown","N1","Manual",0.44,"One-Step RT-ddPCR Kit for Probes",8.8,NA,NA,0.86,0.29,7,18645,1,6,7,18638,0.0629,18652,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,1.8,0,47,NA,NA,73,21,1,1,5507,7196.2,1790.4,1792.5,"Rare Event Detection Experiment",NA,NA,NA,0.63,0,NA,NA,NA,NA,NA,NA,1.33,0.42,NA,NA,60,"34,"
"26","D05","Rare Event Detection","RED","26YC241221I","Ch1Unknown","N1","Manual",1.11,"One-Step RT-ddPCR Kit for Probes",22.2,NA,NA,1.72,0.86,17,18064,0,17,19,18045,0,18081,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,1.5,0.3,47,NA,NA,64,31,1,1,5507,7202.2,1801.2,1806.3,"Rare Event Detection Experiment",NA,NA,NA,1.4,0,NA,NA,NA,NA,NA,NA,1.19,0.6,NA,NA,56,"39,"
"27","D06","Rare Event Detection","RED","26YC241221I","Ch1Unknown","N1","Manual",0.87,"One-Step RT-ddPCR Kit for Probes",17.4,NA,NA,1.41,0.65,14,19008,0,14,10,18998,0,19022,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,2.6,0.2,58,NA,NA,78,38,1,1,5507,7054.9,1729.4,1733.3,"Rare Event Detection Experiment",NA,NA,NA,1.1,0,NA,NA,NA,NA,NA,NA,2,0.8,NA,NA,68,"48,"
"28","D07","Rare Event Detection","RED","EXT","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.2,0,0,17776,0,0,0,17776,0,17776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1722.9,1722.9,"Rare Event Detection Experiment",NA,NA,NA,0.091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"29","D08","Rare Event Detection","RED","NTC","Ch1NTC","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.19,0,0,18696,0,0,0,18696,0,18696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1765.4,1765.4,"Rare Event Detection Experiment",NA,NA,NA,0.086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
